
THIS CONTAINS THE STEADY-STATE DATA FOR COLUMN A.

  FEED DATA : F,ZF,QF (feed rate, composition and liquid fraction):
   1.00000000000000   0.50000000000000  1.00000000000000 
  PRODUCT COMPOSITIONS : yD,XB .... :
   0.99000000000000    1.0000000000000d-02
  THEOR.TRAYS ,FEED LOC., REL.VOLAT. ; NT,NF,ALFA ....
  41  21   1.50000000000000

This is the steady-state column profiles for COLUMN A:

 STAGE   L...                  V...               X...             Y...
  41   2.70629295971439   0.50000000000000   0.99000000000000  0.
  40   2.70629295971439   3.20629295971439   0.98507462686567   0.99000000000000
  39   2.70629295971439   3.20629295971439   0.97891332406394   0.98584270595205
  38   2.70629295971439   3.20629295971439   0.97124167454496   0.98064221722426
  37   2.70629295971439   3.20629295971439   0.96174449436761   0.97416691027525
  36   2.70629295971439   3.20629295971439   0.95007115492539   0.96615075199712
  35   2.70629295971439   3.20629295971439   0.93584846972424   0.95629779197576
  34   2.70629295971439   3.20629295971439   0.91870393775007   0.94429303966157
  33   2.70629295971439   3.20629295971439   0.89830161503826   0.92982208308890
  32   2.70629295971439   3.20629295971439   0.87439107401281   0.91260136651355
  31   2.70629295971439   3.20629295971439   0.84686636753928   0.89241951486955
  30   2.70629295971439   3.20629295971439   0.81582677099606   0.86918710277139
  29   2.70629295971439   3.20629295971439   0.78162559565357   0.84298792426439
  28   2.70629295971439   3.20629295971439   0.74489017363107   0.81412019408306
  27   2.70629295971439   3.20629295971439   0.70649840345461   0.78311341608717
  26   2.70629295971439   3.20629295971439   0.66750673731202   0.75070858638353
  25   2.70629295971439   3.20629295971439   0.62903916925421   0.71779741048817
  24   2.70629295971439   3.20629295971439   0.59216060127435   0.68532860307718
  23   2.70629295971439   3.20629295971439   0.55776390242974   0.65420100178116
  22   2.70629295971439   3.20629295971439   0.52649475964320   0.62516823868365
  21   3.70629295971439   3.20629295971439   0.49872493204438   0.59877531013883
  20   3.70629295971439   3.20629295971439   0.47416387897878   0.57493832523474
  19   3.70629295971439   3.20629295971439   0.44553302705302   0.54654713977416
  18   3.70629295971439   3.20629295971439   0.41298329547589   0.51345149746812
  17   3.70629295971439   3.20629295971439   0.37701507466589   0.47582585236934
  16   3.70629295971439   3.20629295971439   0.33849626436079   0.43424862744433
  15   3.70629295971439   3.20629295971439   0.29860668074760   0.38972306560574
  14   3.70629295971439   3.20629295971439   0.25870700564480   0.34361296750521
  13   3.70629295971439   3.20629295971439   0.22015928656995   0.29749120421457
  12   3.70629295971439   3.20629295971439   0.18414705878182   0.25293222547642
  11   3.70629295971439   3.20629295971439   0.15154333129394   0.21130413097858
  10   3.70629295971439   3.20629295971439   0.12285384713922   0.17361606966694
  9   3.70629295971439   3.20629295971439   9.8234185152883d-02 0.14045265182693
  8   3.70629295971439   3.20629295971439   7.7557807588356d-02 0.11199371777537
  7   3.70629295971439   3.20629295971439   6.0505364325745d-02 8.8092997048145d-02
  6   3.70629295971439   3.20629295971439   4.6650909897754d-02 6.8381339004341d-02
  5   3.70629295971439   3.20629295971439   3.5531128682305d-02 5.2366374822241d-02
  4   3.70629295971439   3.20629295971439   2.6693264811825d-02 3.9512537898976d-02
  3   3.70629295971439   3.20629295971439   1.9723589240705d-02 2.9296468109461d-02
  2   3.70629295971439   3.20629295971439   1.4260912285191d-02 2.1239918123137d-02
  1   0.50000000000000   3.20629295971439   1.0000000000000d-02 1.4925373134328d-02
